DATE,INSTRUMENT TYPE,SYMBOL,EXPIRY DATE,STRIKE,OPTION TYPE,SETTLEMENT PRICE
28-AUG-2023,FUTSTK,DEEPAKNTR,26-OCT-2023,0,FF,2056.1000000
28-AUG-2023,FUTSTK,DIVISLAB,31-AUG-2023,0,FF,3634.8500000
28-AUG-2023,FUTSTK,DIVISLAB,28-SEP-2023,0,FF,3649.6500000
28-AUG-2023,FUTSTK,DIVISLAB,26-OCT-2023,0,FF,3664.5500000
28-AUG-2023,FUTSTK,DLF,31-AUG-2023,0,FF,482.6500000
28-AUG-2023,FUTSTK,DLF,28-SEP-2023,0,FF,484.6000000
28-AUG-2023,FUTSTK,DLF,26-OCT-2023,0,FF,486.5500000
28-AUG-2023,FUTSTK,DRREDDY,31-AUG-2023,0,FF,5778.4500000
28-AUG-2023,FUTSTK,DRREDDY,28-SEP-2023,0,FF,5802.0000000
28-AUG-2023,FUTSTK,DRREDDY,26-OCT-2023,0,FF,5825.6000000
28-AUG-2023,FUTSTK,EICHERMOT,31-AUG-2023,0,FF,3349.8500000
28-AUG-2023,FUTSTK,EICHERMOT,28-SEP-2023,0,FF,3363.5000000
28-AUG-2023,FUTSTK,EICHERMOT,26-OCT-2023,0,FF,3377.2000000
28-AUG-2023,FUTSTK,ESCORTS,31-AUG-2023,0,FF,3033.6500000
28-AUG-2023,FUTSTK,ESCORTS,28-SEP-2023,0,FF,3046.0000000
28-AUG-2023,FUTSTK,ESCORTS,26-OCT-2023,0,FF,3058.4000000
28-AUG-2023,FUTSTK,EXIDEIND,31-AUG-2023,0,FF,261.2500000
28-AUG-2023,FUTSTK,EXIDEIND,28-SEP-2023,0,FF,262.3000000
28-AUG-2023,FUTSTK,EXIDEIND,26-OCT-2023,0,FF,263.3500000
28-AUG-2023,FUTSTK,FEDERALBNK,31-AUG-2023,0,FF,144.0000000
28-AUG-2023,FUTSTK,FEDERALBNK,28-SEP-2023,0,FF,144.5500000
28-AUG-2023,FUTSTK,FEDERALBNK,26-OCT-2023,0,FF,145.1500000
28-AUG-2023,FUTSTK,GAIL,31-AUG-2023,0,FF,117.4000000
28-AUG-2023,FUTSTK,GAIL,28-SEP-2023,0,FF,117.9000000
28-AUG-2023,FUTSTK,GAIL,26-OCT-2023,0,FF,118.4000000
28-AUG-2023,FUTSTK,GLENMARK,31-AUG-2023,0,FF,767.5000000
28-AUG-2023,FUTSTK,GLENMARK,28-SEP-2023,0,FF,770.6500000
28-AUG-2023,FUTSTK,GLENMARK,26-OCT-2023,0,FF,773.7500000
28-AUG-2023,FUTSTK,GMRINFRA,31-AUG-2023,0,FF,60.8000000
28-AUG-2023,FUTSTK,GMRINFRA,28-SEP-2023,0,FF,61.0500000
28-AUG-2023,FUTSTK,GMRINFRA,26-OCT-2023,0,FF,61.3000000
28-AUG-2023,FUTSTK,GODREJCP,31-AUG-2023,0,FF,1028.5500000
28-AUG-2023,FUTSTK,GODREJCP,28-SEP-2023,0,FF,1032.7500000
28-AUG-2023,FUTSTK,GODREJCP,26-OCT-2023,0,FF,1036.9500000
28-AUG-2023,FUTSTK,GODREJPROP,31-AUG-2023,0,FF,1632.2500000
28-AUG-2023,FUTSTK,GODREJPROP,28-SEP-2023,0,FF,1638.9000000
28-AUG-2023,FUTSTK,GODREJPROP,26-OCT-2023,0,FF,1645.5500000
28-AUG-2023,FUTSTK,GRANULES,31-AUG-2023,0,FF,299.1000000
28-AUG-2023,FUTSTK,GRANULES,28-SEP-2023,0,FF,300.3000000
28-AUG-2023,FUTSTK,GRANULES,26-OCT-2023,0,FF,301.5500000
28-AUG-2023,FUTSTK,GRASIM,31-AUG-2023,0,FF,1785.4500000
28-AUG-2023,FUTSTK,GRASIM,28-SEP-2023,0,FF,1792.7000000
28-AUG-2023,FUTSTK,GRASIM,26-OCT-2023,0,FF,1800.0000000
28-AUG-2023,FUTSTK,GUJGASLTD,31-AUG-2023,0,FF,456.1500000
28-AUG-2023,FUTSTK,GUJGASLTD,28-SEP-2023,0,FF,458.0500000
28-AUG-2023,FUTSTK,GUJGASLTD,26-OCT-2023,0,FF,459.9000000
28-AUG-2023,FUTSTK,HAVELLS,31-AUG-2023,0,FF,1316.5000000
28-AUG-2023,FUTSTK,HAVELLS,28-SEP-2023,0,FF,1321.8500000
28-AUG-2023,FUTSTK,HAVELLS,26-OCT-2023,0,FF,1327.2500000
28-AUG-2023,FUTSTK,HCLTECH,31-AUG-2023,0,FF,1146.9500000
28-AUG-2023,FUTSTK,HCLTECH,28-SEP-2023,0,FF,1151.6500000
28-AUG-2023,FUTSTK,HCLTECH,26-OCT-2023,0,FF,1156.3500000
28-AUG-2023,FUTSTK,HDFCAMC,31-AUG-2023,0,FF,2528.4000000
28-AUG-2023,FUTSTK,HDFCAMC,28-SEP-2023,0,FF,2538.7000000
28-AUG-2023,FUTSTK,HDFCAMC,26-OCT-2023,0,FF,2549.0500000
28-AUG-2023,FUTSTK,HDFCBANK,31-AUG-2023,0,FF,1578.4500000
28-AUG-2023,FUTSTK,HDFCBANK,28-SEP-2023,0,FF,1584.9000000
28-AUG-2023,FUTSTK,HDFCBANK,26-OCT-2023,0,FF,1591.3500000
28-AUG-2023,FUTSTK,HDFCLIFE,31-AUG-2023,0,FF,627.6500000
28-AUG-2023,FUTSTK,HDFCLIFE,28-SEP-2023,0,FF,630.2000000
28-AUG-2023,FUTSTK,HDFCLIFE,26-OCT-2023,0,FF,632.7500000
28-AUG-2023,FUTSTK,HEROMOTOCO,31-AUG-2023,0,FF,2933.0500000
28-AUG-2023,FUTSTK,HEROMOTOCO,28-SEP-2023,0,FF,2945.0000000
28-AUG-2023,FUTSTK,HEROMOTOCO,26-OCT-2023,0,FF,2957.0000000
28-AUG-2023,FUTSTK,HINDALCO,31-AUG-2023,0,FF,446.5000000
28-AUG-2023,FUTSTK,HINDALCO,28-SEP-2023,0,FF,448.3500000
28-AUG-2023,FUTSTK,HINDALCO,26-OCT-2023,0,FF,450.1500000
28-AUG-2023,FUTSTK,HINDPETRO,31-AUG-2023,0,FF,264.5000000
28-AUG-2023,FUTSTK,HINDPETRO,28-SEP-2023,0,FF,265.5500000
28-AUG-2023,FUTSTK,HINDPETRO,26-OCT-2023,0,FF,266.6500000
28-AUG-2023,FUTSTK,HINDUNILVR,31-AUG-2023,0,FF,2556.8500000
28-AUG-2023,FUTSTK,HINDUNILVR,28-SEP-2023,0,FF,2567.2500000
28-AUG-2023,FUTSTK,HINDUNILVR,26-OCT-2023,0,FF,2577.7000000
28-AUG-2023,FUTSTK,IBULHSGFIN,31-AUG-2023,0,FF,192.0500000
28-AUG-2023,FUTSTK,IBULHSGFIN,28-SEP-2023,0,FF,192.8500000
28-AUG-2023,FUTSTK,IBULHSGFIN,26-OCT-2023,0,FF,193.6000000
28-AUG-2023,FUTSTK,ICICIBANK,31-AUG-2023,0,FF,971.0000000
28-AUG-2023,FUTSTK,ICICIBANK,28-SEP-2023,0,FF,974.9500000
28-AUG-2023,FUTSTK,ICICIBANK,26-OCT-2023,0,FF,978.9000000
28-AUG-2023,FUTSTK,ICICIGI,31-AUG-2023,0,FF,1327.9500000
28-AUG-2023,FUTSTK,ICICIGI,28-SEP-2023,0,FF,1333.3500000
28-AUG-2023,FUTSTK,ICICIGI,26-OCT-2023,0,FF,1338.8000000
28-AUG-2023,FUTSTK,ICICIPRULI,31-AUG-2023,0,FF,548.4000000
28-AUG-2023,FUTSTK,ICICIPRULI,28-SEP-2023,0,FF,550.6500000
28-AUG-2023,FUTSTK,ICICIPRULI,26-OCT-2023,0,FF,552.9000000
28-AUG-2023,FUTSTK,IDEA,31-AUG-2023,0,FF,9.0000000
28-AUG-2023,FUTSTK,IDEA,28-SEP-2023,0,FF,9.0500000
28-AUG-2023,FUTSTK,IDEA,26-OCT-2023,0,FF,9.1000000
28-AUG-2023,FUTSTK,IDFCFIRSTB,31-AUG-2023,0,FF,91.1000000
28-AUG-2023,FUTSTK,IDFCFIRSTB,28-SEP-2023,0,FF,91.5000000
28-AUG-2023,FUTSTK,IDFCFIRSTB,26-OCT-2023,0,FF,91.8500000
28-AUG-2023,FUTSTK,IGL,31-AUG-2023,0,FF,443.8500000
28-AUG-2023,FUTSTK,IGL,28-SEP-2023,0,FF,445.6500000
28-AUG-2023,FUTSTK,IGL,26-OCT-2023,0,FF,447.5000000
28-AUG-2023,FUTSTK,INDIGO,31-AUG-2023,0,FF,2483.7500000
28-AUG-2023,FUTSTK,INDIGO,28-SEP-2023,0,FF,2493.8500000
28-AUG-2023,FUTSTK,INDIGO,26-OCT-2023,0,FF,2504.0500000
